[tree_debug] input(dx=1.46928,dy=1.1068,dz=1.40596,fp_max=1.46928,fp_min=1.1068,square=0.753296,pts=109) -> tree_label=boat
[tree_debug2] input(dx=1.59557,dy=1.53445,dz=5.89596,fp_max=1.59557,fp_min=1.53445,square=0.961695,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.48839,dy=1.96267,dz=5.72849,fp_max=1.96267,fp_min=1.48839,square=0.758348,pts=319) -> tree_label2=pillar
[tree_debug] input(dx=1.50605,dy=1.29628,dz=1.39447,fp_max=1.50605,fp_min=1.29628,square=0.860717,pts=246) -> tree_label=boat
[tree_debug2] input(dx=1.09593,dy=1.19676,dz=1.33542,fp_max=1.19676,fp_min=1.09593,square=0.915748,pts=35) -> tree_label2=boat
[tree_debug2] input(dx=1.78696,dy=1.80162,dz=7.03578,fp_max=1.80162,fp_min=1.78696,square=0.991863,pts=2495) -> tree_label2=pillar
[tree_debug2] input(dx=1.86664,dy=1.63557,dz=6.3006,fp_max=1.86664,fp_min=1.63557,square=0.876211,pts=2664) -> tree_label2=pillar
[tree_debug] input(dx=1.4411,dy=1.31313,dz=1.40783,fp_max=1.4411,fp_min=1.31313,square=0.911197,pts=239) -> tree_label=boat
[tree_debug2] input(dx=1.81311,dy=1.79043,dz=7.01867,fp_max=1.81311,fp_min=1.79043,square=0.987493,pts=2496) -> tree_label2=pillar
[tree_debug] input(dx=1.58773,dy=1.13637,dz=1.40669,fp_max=1.58773,fp_min=1.13637,square=0.71572,pts=115) -> tree_label=boat
[tree_debug2] input(dx=1.60207,dy=1.50002,dz=5.96801,fp_max=1.60207,fp_min=1.50002,square=0.936302,pts=920) -> tree_label2=pillar
[tree_debug2] input(dx=1.511,dy=1.94851,dz=5.73073,fp_max=1.94851,fp_min=1.511,square=0.775465,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.84456,dy=1.66662,dz=6.25902,fp_max=1.84456,fp_min=1.66662,square=0.903532,pts=2665) -> tree_label2=pillar
[tree_debug2] input(dx=1.07983,dy=0.794851,dz=1.33433,fp_max=1.07983,fp_min=0.794851,square=0.736089,pts=35) -> tree_label2=boat
[tree_debug2] input(dx=1.85263,dy=1.62037,dz=6.29637,fp_max=1.85263,fp_min=1.62037,square=0.874634,pts=2663) -> tree_label2=pillar
[tree_debug2] input(dx=1.60134,dy=1.48855,dz=5.96801,fp_max=1.60134,fp_min=1.48855,square=0.929565,pts=920) -> tree_label2=pillar
[tree_debug2] input(dx=1.80901,dy=1.79043,dz=7.01867,fp_max=1.80901,fp_min=1.79043,square=0.989732,pts=2495) -> tree_label2=pillar
[tree_debug] input(dx=1.45882,dy=1.36887,dz=1.3974,fp_max=1.45882,fp_min=1.36887,square=0.93834,pts=240) -> tree_label=boat
[tree_debug2] input(dx=1.14351,dy=0.948737,dz=1.33725,fp_max=1.14351,fp_min=0.948737,square=0.829674,pts=39) -> tree_label2=boat
[tree_debug] input(dx=1.4983,dy=1.1146,dz=1.39878,fp_max=1.4983,fp_min=1.1146,square=0.743909,pts=114) -> tree_label=boat
[tree_debug2] input(dx=1.47037,dy=1.9869,dz=5.73238,fp_max=1.9869,fp_min=1.47037,square=0.740035,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.80349,dy=1.79712,dz=7.08008,fp_max=1.80349,fp_min=1.79712,square=0.996471,pts=2496) -> tree_label2=pillar
[tree_debug] input(dx=1.15864,dy=0.969335,dz=1.33635,fp_max=1.15864,fp_min=0.969335,square=0.836618,pts=42) -> tree_label=boat
[tree_debug] input(dx=1.31614,dy=1.11897,dz=1.29912,fp_max=1.31614,fp_min=1.11897,square=0.850192,pts=113) -> tree_label=boat
[tree_debug2] input(dx=1.59728,dy=1.48521,dz=5.9654,fp_max=1.59728,fp_min=1.48521,square=0.929838,pts=920) -> tree_label2=pillar
[tree_debug2] input(dx=1.86622,dy=1.65413,dz=6.28695,fp_max=1.86622,fp_min=1.65413,square=0.886351,pts=2666) -> tree_label2=pillar
[tree_debug] input(dx=1.53259,dy=1.37137,dz=1.37633,fp_max=1.53259,fp_min=1.37137,square=0.894801,pts=241) -> tree_label=boat
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2663) -> tree_label2=pillar
[tree_debug] input(dx=1.3,dy=1.1,dz=1.4,fp_max=1.3,fp_min=1.1,square=0.9,pts=116) -> tree_label=boat
[tree_debug] input(dx=1.5,dy=1.3,dz=1.4,fp_max=1.5,fp_min=1.3,square=0.9,pts=238) -> tree_label=boat
[tree_debug] input(dx=1.2,dy=1.0,dz=1.3,fp_max=1.2,fp_min=1.0,square=0.8,pts=46) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2494) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=6.0,fp_max=1.6,fp_min=1.5,square=0.9,pts=920) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.7,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.7,dz=6.3,fp_max=1.8,fp_min=1.7,square=0.9,pts=2664) -> tree_label2=pillar
[tree_debug] input(dx=1.2,dy=1.0,dz=1.3,fp_max=1.2,fp_min=1.0,square=0.9,pts=55) -> tree_label=boat
[tree_debug] input(dx=1.4,dy=1.1,dz=1.4,fp_max=1.4,fp_min=1.1,square=0.8,pts=118) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.7,pts=319) -> tree_label2=pillar
[tree_debug] input(dx=1.4,dy=1.3,dz=1.4,fp_max=1.4,fp_min=1.3,square=0.9,pts=239) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.1,fp_max=1.8,fp_min=1.8,square=1.0,pts=2497) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.0,dz=4.1,fp_max=1.9,fp_min=1.0,square=0.5,pts=40) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=5.9,fp_max=1.6,fp_min=1.5,square=0.9,pts=919) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2664) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=6.0,fp_max=1.6,fp_min=1.5,square=1.0,pts=920) -> tree_label2=pillar
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.7,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.9,dy=1.0,dz=4.1,fp_max=1.9,fp_min=1.0,square=0.5,pts=40) -> tree_label2=pillar
[tree_debug] input(dx=1.2,dy=0.8,dz=1.3,fp_max=1.2,fp_min=0.8,square=0.7,pts=59) -> tree_label=boat
[tree_debug] input(dx=1.6,dy=1.3,dz=1.4,fp_max=1.6,fp_min=1.3,square=0.8,pts=234) -> tree_label=boat
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.1,fp_max=1.8,fp_min=1.8,square=1.0,pts=2495) -> tree_label2=pillar
[tree_debug] input(dx=1.3,dy=1.2,dz=1.2,fp_max=1.3,fp_min=1.2,square=0.9,pts=115) -> tree_label=boat
[tree_debug2] input(dx=1.9,dy=1.6,dz=6.3,fp_max=1.9,fp_min=1.6,square=0.9,pts=2667) -> tree_label2=pillar
[tree_debug2] input(dx=1.6,dy=1.5,dz=6.0,fp_max=1.6,fp_min=1.5,square=0.9,pts=920) -> tree_label2=pillar
[tree_debug] input(dx=1.2,dy=0.8,dz=1.3,fp_max=1.2,fp_min=0.8,square=0.7,pts=60) -> tree_label=boat
[tree_debug2] input(dx=1.5,dy=2.0,dz=5.7,fp_max=2.0,fp_min=1.5,square=0.8,pts=319) -> tree_label2=pillar
[tree_debug2] input(dx=1.8,dy=1.8,dz=7.0,fp_max=1.8,fp_min=1.8,square=1.0,pts=2497) -> tree_label2=pillar
[tree_debug] input(dx=1.3,dy=1.2,dz=1.4,fp_max=1.3,fp_min=1.2,square=0.9,pts=116) -> tree_label=boat
